"縣市鄉鎮","物資存放點","主/次分類","條碼號","品名","最小單位規格","庫存數量","單位","保存期限"
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 10 "," 包 "," 1060401 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 20 "," 包 "," 1051231 "
" 臺北市   文山區 "," 臺北市文山區公所 "," 食品類 / 主食品 "," 1011060 --"," 麥片 "," 1包／包 "," 40 "," 包 "," 1050805 "
" 臺北市   南港區 "," 臺北市南港區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060702 "
" 臺北市   中山區 "," 臺北市新興國中 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1071031 "
" 臺北市   文山區 "," 台北市安康平價住宅 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051027 "
" 臺北市   大同區 "," 台北市大同區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 3 "," 罐 "," 1061031 "
" 臺北市   中山區 "," 臺北市中山區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1071031 "
" 臺北市   大安區 "," 台北市大安區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060702 "
" 臺北市   士林區 "," 臺北市士林區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1051122 "
" 臺北市   松山區 "," 臺北市松山區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060702 "
" 臺北市   文山區 "," 臺北市文山區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 4 "," 罐 "," 1051027 "
" 臺北市   中正區 "," 臺北市中正區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1061031 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060702 "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1040705 "
" 臺北市   北投區 "," 台北市北投區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1061031 "
" 臺北市   中山區 "," 臺北市五常國中 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1071031 "
" 臺北市   萬華區 "," 台北市萬華區公所 "," 食品類 / 主食品 "," 1011070 --"," 嬰兒奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1061031 "
" 臺北市   士林區 "," 臺北市士林區公所 "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1060330 "
" 臺北市   松山區 "," 臺北市松山區公所 "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060330 "
" 臺北市   北投區 "," 台北市北投區公所 "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1051109 "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1050404 "
" 臺北市   文山區 "," 臺北市文山區公所 "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051109 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 1 "," 罐 "," 1051013 "
" 臺北市   文山區 "," 台北市安康平價住宅 "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1060217 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 主食品 "," 1011080 --"," 成人奶粉 "," 1罐／罐 "," 2 "," 罐 "," 1051109 "
" 臺北市   中正區 "," 臺北市中正區公所 "," 食品類 / 罐頭類 "," 1012120 --"," 其他罐頭 "," 1罐／罐 "," 240 "," 罐 "," 1060726 "
" 臺北市   大安區 "," 台北市大安區公所 "," 食品類 / 罐頭類 "," 1012120 --"," 其他罐頭 "," 1罐／罐 "," 240 "," 罐 "," 1050806 "
" 臺北市   文山區 "," 臺北市文山區公所 "," 食品類 / 罐頭類 "," 1012120 --"," 其他罐頭 "," 1罐／罐 "," 240 "," 罐 "," 1060617 "
" 臺北市   大同區 "," 台北市大同區公所 "," 食品類 / 罐頭類 "," 1012120 --"," 其他罐頭 "," 1罐／罐 "," 12 "," 罐 "," 1060324 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 罐頭類 "," 1012120 --"," 其他罐頭 "," 1罐／罐 "," 213 "," 罐 "," 1050807 "
" 臺北市   松山區 "," 臺北市松山區公所 "," 食品類 / 罐頭類 "," 1012120 --"," 其他罐頭 "," 1罐／罐 "," 48 "," 罐 "," 1050909 "
" 臺北市   內湖區 "," 台北市東湖國小 "," 食品類 / 副食品 "," 1013130 --"," 調理包 "," 1包／包 "," 192 "," 包 "," 1041220 "
" 臺北市   松山區 "," 台北市中崙高中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 192 "," 包 "," 1051013 "
" 臺北市   文山區 "," 台北市安康平價住宅 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 792 "," 包 "," 1050529 "
" 臺北市   南港區 "," 台北市南港國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 240 "," 包 "," 1051013 "
" 臺北市   大安區 "," 台北市龍門國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 120 "," 包 "," 1051013 "
" 臺北市   萬華區 "," 台北市新和國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 72 "," 包 "," 1051013 "
" 臺北市   士林區 "," 台北市至善國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 240 "," 包 "," 1051013 "
" 臺北市   文山區 "," 臺北市景興國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 240 "," 包 "," 1050424 "
" 臺北市   文山區 "," 臺北市景興國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 288 "," 包 "," 1050424 "
" 臺北市   南港區 "," 台北市舊莊國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 240 "," 包 "," 1051013 "
" 臺北市   大安區 "," 台北市幸安國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 240 "," 包 "," 1050801 "
" 臺北市   大安區 "," 台北市大安區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 720 "," 包 "," 1050801 "
" 臺北市   南港區 "," 台北市成德國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 240 "," 包 "," 1051013 "
" 臺北市   士林區 "," 台北市福林國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 240 "," 包 "," 1051013 "
" 臺北市   信義區 "," 台北市博愛國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 456 "," 包 "," 1051013 "
" 臺北市   萬華區 "," 台北市柳鄉區民活動中心 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 432 "," 包 "," 1050801 "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 360 "," 包 "," 1040407 "
" 臺北市   大安區 "," 台北市民族國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 240 "," 包 "," 1050801 "
" 臺北市   北投區 "," 臺北市北投國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 288 "," 包 "," 1050801 "
" 臺北市   大安區 "," 台北市大安國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 240 "," 包 "," 1050801 "
" 臺北市   北投區 "," 台北市北投區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 288 "," 包 "," 1050801 "
" 臺北市   北投區 "," 臺北市桃源國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 168 "," 包 "," 1050801 "
" 臺北市   大同區 "," 台北市大同區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 408 "," 包 "," 1050801 "
" 臺北市   士林區 "," 台北市士林國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 240 "," 包 "," 1051013 "
" 臺北市   內湖區 "," 台北市麗山國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 192 "," 包 "," 1040407 "
" 臺北市   中山區 "," 臺北市新興國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 288 "," 包 "," 1041220 "
" 臺北市   內湖區 "," 台北市麗山國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 192 "," 包 "," 1041220 "
" 臺北市   文山區 "," 臺北市萬興國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 72 "," 包 "," 1050424 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 576 "," 包 "," 1050801 "
" 臺北市   萬華區 "," 台北市萬華區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 336 "," 包 "," 1051013 "
" 臺北市   士林區 "," 臺北市士林區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 480 "," 包 "," 1051013 "
" 臺北市   松山區 "," 台北市民權國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 192 "," 包 "," 1051013 "
" 臺北市   中正區 "," 臺北市立弘道國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 120 "," 包 "," 1050604 "
" 臺北市   信義區 "," 台北市信義國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 792 "," 包 "," 1050801 "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 336 "," 包 "," 1050801 "
" 臺北市   內湖區 "," 台北市東湖國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 192 "," 包 "," 1040407 "
" 臺北市   內湖區 "," 台北市碧湖國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 192 "," 包 "," 1041220 "
" 臺北市   內湖區 "," 台北市碧湖國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 192 "," 包 "," 1040407 "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 360 "," 包 "," 1041220 "
" 臺北市   中正區 "," 臺北市立市大附小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 120 "," 包 "," 1050604 "
" 臺北市   南港區 "," 臺北市南港區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 240 "," 包 "," 1051013 "
" 臺北市   大安區 "," 台北市大安區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 480 "," 包 "," 1051013 "
" 臺北市   北投區 "," 臺北市逸仙國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 192 "," 包 "," 1050801 "
" 臺北市   萬華區 "," 台北市東園國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 72 "," 包 "," 1051013 "
" 臺北市   中山區 "," 臺北市中山區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 312 "," 包 "," 1041220 "
" 臺北市   中正區 "," 臺北市中正區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 744 "," 包 "," 1050604 "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 96 "," 包 "," 1051013 "
" 臺北市   北投區 "," 臺北市新民國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 96 "," 包 "," 1050801 "
" 臺北市   松山區 "," 臺北市松山區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 528 "," 包 "," 1051013 "
" 臺北市   北投區 "," 台北市北投區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 960 "," 包 "," 1051013 "
" 臺北市   信義區 "," 台北市興雅國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 792 "," 包 "," 1050801 "
" 臺北市   中山區 "," 臺北市中山區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 12 "," 包 "," 1050424 "
" 臺北市   中山區 "," 臺北市五常國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 288 "," 包 "," 1041220 "
" 臺北市   大同區 "," 台北市忠孝國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 384 "," 包 "," 1050801 "
" 臺北市   大安區 "," 台北市大安區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 600 "," 包 "," 1050604 "
" 臺北市   信義區 "," 台北市吳興國小 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 480 "," 包 "," 1050801 "
" 臺北市   文山區 "," 臺北市文山區公所 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 408 "," 包 "," 1050424 "
" 臺北市   大同區 "," 台北市建成國中 "," 食品類 / 副食品 "," 1013140 --"," 餅乾口糧 "," 1包／包 "," 192 "," 包 "," 1050801 "
" 臺北市   士林區 "," 台北市士林國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1050614 "
" 臺北市   南港區 "," 台北市南港國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1051125 "
" 臺北市   信義區 "," 台北市興雅國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 816 "," 瓶 "," 1050905 "
" 臺北市   萬華區 "," 台北市東園國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 48 "," 瓶 "," 1050905 "
" 臺北市   萬華區 "," 台北市萬華區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 384 "," 瓶 "," 1050905 "
" 臺北市   文山區 "," 臺北市萬興國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 96 "," 瓶 "," 1051023 "
" 臺北市   中正區 "," 臺北市立弘道國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1050805 "
" 臺北市   北投區 "," 臺北市桃源國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 192 "," 瓶 "," 1050918 "
" 臺北市   萬華區 "," 台北市柳鄉區民活動中心 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 432 "," 瓶 "," 1050905 "
" 臺北市   內湖區 "," 台北市碧湖國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 192 "," 瓶 "," 1040706 "
" 臺北市   松山區 "," 台北市民權國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 192 "," 瓶 "," 1050614 "
" 臺北市   大安區 "," 台北市大安區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 360 "," 瓶 "," 1050918 "
" 臺北市   大同區 "," 台北市大同區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 480 "," 瓶 "," 1050905 "
" 臺北市   中正區 "," 臺北市立市大附小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1050805 "
" 臺北市   萬華區 "," 台北市新和國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 48 "," 瓶 "," 1050905 "
" 臺北市   大安區 "," 台北市龍門國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1050918 "
" 臺北市   北投區 "," 臺北市新民國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 192 "," 瓶 "," 1050918 "
" 臺北市   北投區 "," 臺北市逸仙國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 192 "," 瓶 "," 1050918 "
" 臺北市   信義區 "," 台北市信義區公所7F "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 576 "," 瓶 "," 1050905 "
" 臺北市   內湖區 "," 台北市麗山國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 192 "," 瓶 "," 1040706 "
" 臺北市   中山區 "," 臺北市新興國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 288 "," 瓶 "," 1041223 "
" 臺北市   松山區 "," 台北市中崙高中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 192 "," 瓶 "," 1050614 "
" 臺北市   北投區 "," 台北市北投區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 960 "," 瓶 "," 1050614 "
" 臺北市   南港區 "," 臺北市南港區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1051125 "
" 臺北市   大同區 "," 台北市忠孝國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 216 "," 瓶 "," 1050810 "
" 臺北市   大安區 "," 台北市大安區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 576 "," 瓶 "," 1051125 "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 360 "," 瓶 "," 1040706 "
" 臺北市   南港區 "," 台北市舊莊國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1050614 "
" 臺北市   內湖區 "," 台北市內湖區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 360 "," 瓶 "," 1041223 "
" 臺北市   士林區 "," 台北市福林國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1050614 "
" 臺北市   大安區 "," 台北市幸安國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1050918 "
" 臺北市   大安區 "," 台北市大安國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1050918 "
" 臺北市   信義區 "," 台北市信義區公所B1 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 408 "," 瓶 "," 1051023 "
" 臺北市   文山區 "," 臺北市景興國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1051023 "
" 臺北市   信義區 "," 台北市信義國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 816 "," 瓶 "," 1050905 "
" 臺北市   松山區 "," 臺北市松山區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 528 "," 瓶 "," 1050614 "
" 臺北市   大安區 "," 台北市大安區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 576 "," 瓶 "," 1050614 "
" 臺北市   大安區 "," 台北市民族國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1050918 "
" 臺北市   南港區 "," 台北市成德國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1050614 "
" 臺北市   文山區 "," 台北市安康平價住宅 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 648 "," 瓶 "," 1050810 "
" 臺北市   中正區 "," 臺北市中正區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 960 "," 瓶 "," 1050805 "
" 臺北市   大同區 "," 台北市忠孝國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 168 "," 瓶 "," 1050905 "
" 臺北市   內湖區 "," 台北市東湖國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 192 "," 瓶 "," 1040706 "
" 臺北市   中山區 "," 臺北市中山區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 336 "," 瓶 "," 1041223 "
" 臺北市   信義區 "," 台北市博愛國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 456 "," 瓶 "," 1050614 "
" 臺北市   士林區 "," 臺北市士林區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 720 "," 瓶 "," 1050614 "
" 臺北市   大同區 "," 台北市建成國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 192 "," 瓶 "," 1050905 "
" 臺北市   士林區 "," 台北市至善國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1050614 "
" 臺北市   信義區 "," 台北市吳興國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 456 "," 瓶 "," 1050614 "
" 臺北市   文山區 "," 臺北市文山區公所 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 624 "," 瓶 "," 1051023 "
" 臺北市   文山區 "," 臺北市景興國中 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 240 "," 瓶 "," 1051023 "
" 臺北市   北投區 "," 臺北市北投國小 "," 食品類 / 飲品類 "," 1014150 --"," 瓶裝礦泉水 "," 1瓶／瓶 "," 288 "," 瓶 "," 1050918 "
